时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-2-26 15:16:24.94	WT3(F3:2A:15:68:55:37)	-0.213	0.067	0.976	0.732	-2.869	0.244	4.18	12.51	-23.40	-29.400	38.033	9.800	null	null	null	null	null	null	0.97183	0.05756	0.10022	-0.20520	22.4	10080.1.21	100
2026-2-26 15:16:24.101	WT2(CA:F4:44:5B:2A:5C)	-0.455	0.755	0.500	0.427	0.916	-0.610	54.24	23.57	-93.30	-8.300	-12.800	-30.360	null	null	null	null	null	null	0.53296	0.43530	-0.19162	-0.69974	22.1	10080.1.21	100
2026-2-26 15:16:24.153	WT3(F3:2A:15:68:55:37)	-0.225	0.068	0.978	-0.061	2.991	0.305	4.25	12.66	-23.38	-30.700	36.467	10.200	null	null	null	null	null	null	0.97183	0.05756	0.10022	-0.20520	22.4	10080.1.21	100
2026-2-26 15:16:24.184	WT2(CA:F4:44:5B:2A:5C)	-0.447	0.735	0.507	0.000	1.160	0.000	54.27	23.85	-93.36	-8.300	-12.800	-30.360	null	null	null	null	null	null	0.52924	0.43976	-0.19458	-0.69897	22.1	10080.1.21	100
2026-2-26 15:16:24.185	WT4(FA:E0:7F:9A:F3:3E)	0.772	-0.183	0.654	0.977	3.540	-0.488	-12.15	-47.47	108.29	-31.300	19.600	-49.140	null	null	null	null	null	null	0.57001	0.26971	-0.30933	0.71173	23.1	10080.1.21	100
2026-2-26 15:16:24.201	WT1(D0:8E:86:5B:BD:44)	-0.093	1.025	-0.026	5.310	-0.854	-0.183	-0.83	-5.70	-148.96	-11.900	-17.800	15.147	null	null	null	null	null	null	0.15979	0.21750	-0.67245	-0.68909	21.1	10080.1.21	100
2026-2-26 15:16:24.210	WT4(FA:E0:7F:9A:F3:3E)	0.742	-0.166	0.650	0.366	0.732	0.977	-12.02	-47.61	108.19	-31.300	19.600	-49.140	null	null	null	null	null	null	0.56747	0.26788	-0.31244	0.71307	23.1	10080.1.21	100
2026-2-26 15:16:24.284	WT3(F3:2A:15:68:55:37)	-0.214	0.067	0.978	0.549	3.418	1.404	4.30	12.65	-23.34	-30.700	36.467	10.200	null	null	null	null	null	null	0.97183	0.05756	0.10022	-0.20520	22.4	10080.1.21	100
2026-2-26 15:16:24.290	WT1(D0:8E:86:5B:BD:44)	-0.080	1.002	-0.009	-4.883	0.244	-8.057	-0.95	-5.52	-148.86	-12.100	-18.500	12.127	null	null	null	null	null	null	0.15979	0.21750	-0.67245	-0.68909	21.1	10080.1.21	100
2026-2-26 15:16:24.312	WT2(CA:F4:44:5B:2A:5C)	-0.434	0.746	0.508	0.916	2.686	-1.160	54.38	23.79	-93.30	-8.300	-12.800	-30.360	null	null	null	null	null	null	0.52924	0.43976	-0.19458	-0.69897	22.1	10080.1.21	100
